File Name, OpMode, Test Events, HLED Events, Forced Events
Merged_CoBo0_AsAd0_2025-09-24T03:47:56.465_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T03:49:55.721_0000.root, 1, 30, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T03:51:56.465_0000.root, 1, 32, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T03:53:56.465_0000.root, 1, 35, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T03:55:56.465_0000.root, 1, 23, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T03:57:56.163_0000.root, 1, 43, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T03:59:56.465_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:01:55.806_0000.root, 1, 40, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:03:56.536_0000.root, 1, 29, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:05:56.466_0000.root, 1, 30, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:07:55.603_0000.root, 1, 42, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T04:09:56.466_0000.root, 1, 33, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:11:56.080_0000.root, 1, 34, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:13:55.729_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:15:56.467_0000.root, 1, 36, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:17:56.412_0000.root, 1, 31, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:19:56.468_0000.root, 1, 40, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:21:56.468_0000.root, 1, 44, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:23:56.184_0000.root, 1, 47, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:25:56.468_0000.root, 1, 32, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:27:55.788_0000.root, 1, 38, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:29:56.468_0000.root, 1, 40, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:31:56.468_0000.root, 1, 43, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:33:56.468_0000.root, 1, 35, 97, 0
