Index,Neighbors
170,"165,169,173,166,174,167,171,175"
171,"166,170,174,167,175,228,232,236"
172,"107,111,115,168,176,169,173,177"
173,"168,172,176,169,177,170,174,178"
174,"169,173,177,170,178,171,175,179"
175,"170,174,178,171,179,232,236,240"
176,"111,115,119,172,180,173,177,181"
177,"172,176,180,173,181,174,178,182"
178,"173,177,181,174,182,175,179,183"
179,"174,178,182,175,183,236,240,244"
180,"115,119,123,176,184,177,181,185"
181,"176,180,184,177,185,178,182,186"
182,"177,181,185,178,186,179,183,187"
183,"178,182,186,179,187,240,244,248"
184,"119,123,127,180,188,181,185,189"
185,"180,184,188,181,189,182,186,190"
186,"181,185,189,182,190,183,187,191"
187,"182,186,190,183,191,244,248,252"
188,"123,127,184,185,189"
189,"184,188,185,186,190"
190,"185,189,186,187,191"
191,"186,190,187,248,252"
192,"131,135,196,193,197"
193,"192,196,197,194,198"
194,"193,197,198,195,199"
195,"194,198,199"
196,"131,135,139,192,200,193,197,201"
197,"192,196,200,193,201,194,198,202"
198,"193,197,201,194,202,195,199,203"
199,"194,198,202,195,203"
200,"135,139,143,196,204,197,201,205"
201,"196,200,204,197,205,198,202,206"
202,"197,201,205,198,206,199,203,207"
203,"198,202,206,199,207"
204,"139,143,147,200,208,201,205,209"
205,"200,204,208,201,209,202,206,210"
206,"201,205,209,202,210,203,207,211"
207,"202,206,210,203,211"
208,"143,147,151,204,212,205,209,213"
209,"204,208,212,205,213,206,210,214"
210,"205,209,213,206,214,207,211,215"
211,"206,210,214,207,215"
212,"147,151,155,208,216,209,213,217"
213,"208,212,216,209,217,210,214,218"
214,"209,213,217,210,218,211,215,219"
215,"210,214,218,211,219"
216,"151,155,159,212,220,213,217,221"
217,"212,216,220,213,221,214,218,222"
218,"213,217,221,214,222,215,219,223"
219,"214,218,222,215,223"
220,"155,159,163,216,224,217,221,225"
221,"216,220,224,217,225,218,222,226"
222,"217,221,225,218,226,219,223,227"
223,"218,222,226,219,227"
224,"159,163,167,220,228,221,225,229"
225,"220,224,228,221,229,222,226,230"
226,"221,225,229,222,230,223,227,231"
227,"222,226,230,223,231"
228,"163,167,171,224,232,225,229,233"
229,"224,228,232,225,233,226,230,234"
230,"225,229,233,226,234,227,231,235"
231,"226,230,234,227,235"
232,"167,171,175,228,236,229,233,237"
233,"228,232,236,229,237,230,234,238"
234,"229,233,237,230,238,231,235,239"
235,"230,234,238,231,239"
236,"171,175,179,232,240,233,237,241"
237,"232,236,240,233,241,234,238,242"
238,"233,237,241,234,242,235,239,243"
239,"234,238,242,235,243"
240,"175,179,183,236,244,237,241,245"
241,"236,240,244,237,245,238,242,246"
242,"237,241,245,238,246,239,243,247"
243,"238,242,246,239,247"
244,"179,183,187,240,248,241,245,249"
245,"240,244,248,241,249,242,246,250"
246,"241,245,249,242,250,243,247,251"
247,"242,246,250,243,251"
248,"183,187,191,244,252,245,249,253"
249,"244,248,252,245,253,246,250,254"
250,"245,249,253,246,254,247,251,255"
251,"246,250,254,247,255"
252,"187,191,248,249,253"
253,"248,252,249,250,254"
254,"249,253,250,251,255"
255,"250,254,251"
