File Name, OpMode, Test Events, HLED Events, Forced Events
Merged_CoBo0_AsAd0_2026-03-11T11:57:04.239_0000.root,2,10,97,0
Merged_CoBo0_AsAd0_2026-03-11T11:59:04.238_0000.root,2,8,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:01:04.237_0000.root,2,6,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:03:04.237_0000.root,2,2,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:05:04.237_0000.root,2,85,27,0
Merged_CoBo0_AsAd0_2026-03-11T12:07:04.236_0000.root,2,94,10,0
Merged_CoBo0_AsAd0_2026-03-11T12:09:04.235_0000.root,2,6,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:11:04.235_0000.root,2,7,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:13:04.235_0000.root,2,4,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:15:04.235_0000.root,2,7,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:17:04.234_0000.root,2,5,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:19:04.234_0000.root,2,5,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:21:04.233_0000.root,2,3,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:23:04.233_0000.root,2,6,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:25:04.232_0000.root,2,4,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:27:04.233_0000.root,2,2,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:29:04.233_0000.root,2,6,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:31:04.232_0000.root,2,4,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:33:04.231_0000.root,2,3,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:35:04.231_0000.root,2,6,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:37:04.231_0000.root,2,9,97,0
Merged_CoBo0_AsAd0_2026-03-11T12:39:04.232_0000.root,6,0,15,0
