# cell capacitance
CAPACITANCE
# temperature; error on temperature; cell capacitance; error on capacitance
# [C]; [C]; [fF]; [fF]
46.5 0 48.2 1.6

# Wavelength
452
# bias; error on bias; PDE; error on PDE
# [V]; [V]; [%]; [%]
42 0 38.6 1.2
42.5 0 42.3 1.3
43 0 45.2 1.4
43.5 0 46.8 1.4
44.5 0 50.2 1.7
45.5 0 54.3 1.9
46.5 0 53.3 2.1

# Wavelength
500
# bias; error on bias; PDE; error on PDE
# [V]; [V]; [%]; [%]
42 0 32.3 0.9
42.5 0 35.5 0.9
43 0 38.9 1
43.5 0 42.5 1.1
44.5 0 44.4 1.3
45.5 0 46 1.5
46.5 0 45.3 1.6

# Wavelength
589
# bias; error on bias; PDE; error on PDE
# [V]; [V]; [%]; [%]
42 0 27.7 0.8
42.5 0 32 0.9
43 0 35.2 1
43.5 0 37.9 1
44.5 0 41.7 1.2
45.5 0 43.5 1.4
46.5 0 42 1.5

***
# PDE vs wavlength for 90% breakdown probability at 400nm
PDEVSWAVELENGTH
# wavelength; error on wavelength; PDE; error on PDE
# [nm]; [nm]; [%]; [%]
200 0 0.371933 0.0140495
210 0 0.647342 0.0179188
220 0 1.0985 0.0194317
230 0 1.75503 0.0116442
240 0 2.64327 0.0105507
250 0 3.41358 0.0138515
260 0 4.04846 0.0416691
270 0 5.31683 0.021918
280 0 6.91692 0.489877
290 0 9.47522 0.0776933
300 0 12.7214 0.158973
310 0 16.4622 0.417082
320 0 18.9134 0.330429
330 0 21.0915 0.151868
340 0 21.6492 0.125083
350 0 23.9511 0.175225
360 0 25.5028 0.101522
370 0 27.0923 0.111885
380 0 31.3749 0.14392
390 0 34.998 0.187652
400 0 37.6331 0.238542
410 0 41.7234 0.225165
420 0 46.2741 0.219119
430 0 43.8885 0.25262
440 0 44.9167 0.337442
450 0 45.9725 0.205064
460 0 48.5802 0.297984
470 0 51.6693 0.382346
480 0 49.5283 0.477541
490 0 47.5765 0.393972
500 0 47.2506 0.36285
510 0 46.5185 0.488583
520 0 45.5382 0.362615
530 0 45.0838 0.385191
540 0 42.6454 0.313493
550 0 40.4299 0.267006
560 0 38.3454 0.18619
570 0 37.1379 0.210333
580 0 36.6865 0.291233
590 0 36.4287 0.242425
600 0 36.0273 0.216717
610 0 35.673 0.326659
620 0 35.3043 0.239173
630 0 32.6109 0.18788
640 0 30.5713 0.190709
650 0 28.8988 0.104146
660 0 27.1464 0.136893
670 0 25.9247 0.150937
680 0 25.0026 0.088054
690 0 24.3194 0.08755
700 0 23.7251 0.106899
710 0 22.7279 0.112979
720 0 21.6757 0.0896865
730 0 20.3713 0.0759183
740 0 18.866 0.0587015
750 0 17.4599 0.0689135
760 0 15.9667 0.0410506
770 0 15.6814 0.0612091
780 0 14.3934 0.0510335
790 0 13.5032 0.0417514
800 0 12.4243 0.0466088
810 0 11.5318 0.047824
820 0 10.7151 0.0324784
830 0 10.0077 0.0208382
840 0 9.33721 0.0318448
850 0 8.71857 0.0267398
860 0 8.15422 0.029528
870 0 7.51119 0.0183031
880 0 6.60209 0.0177163
890 0 5.99814 0.0166808
900 0 5.36901 0.0132238
910 0 4.69919 0.0146184
920 0 4.15455 0.00858229
930 0 3.60136 0.0116224
940 0 3.17415 0.00646764
950 0 2.71181 0.00609576
960 0 2.27313 0.0053723
970 0 1.98196 0.00452159
980 0 1.64529 0.0035835
990 0 1.34126 0.00443124
1000 0 1.1267 0.00386764

***
