# cell capacitance
CAPACITANCE
# temperature; error on temperature; cell capacitance; error on capacitance
# [C]; [C]; [fF]; [fF]
0.155314 4.92565e-06 6.28764 0.0440525
0.168524 5.34459e-06 7.42128 0.0478593
0.181735 5.76354e-06 8.72467 0.0518921
0.194945 6.18249e-06 10.662 0.0573649

# Temperature
0
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.0624253 1.55769e-06 7.47776 0.0480411
0.0753817 1.88099e-06 9.80491 0.0550109
0.0883381 2.20429e-06 11.6953 0.0600805
0.101295 2.52759e-06 13.7635 0.0651767
0.114251 2.85089e-06 16.4089 0.0711651
0.127207 3.17419e-06 19.4231 0.0774259
0.140164 3.49749e-06 22.4188 0.0831827
0.15312 3.82079e-06 25.9459 0.0894873
0.166077 4.14409e-06 29.7916 0.0958901
0.179033 4.46739e-06 35.0978 0.10408
0.191989 4.79069e-06 41.0456 0.112554

# Temperature
20
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.061978 1.07451e-06 36.5709 0.106242
0.0746896 1.29489e-06 46.5116 0.119814
0.0874013 1.51527e-06 54.7162 0.129953
0.100113 1.73565e-06 63.8113 0.140338
0.112825 1.95603e-06 71.3492 0.148396
0.125536 2.17641e-06 82.5949 0.159663
0.138248 2.39679e-06 94.1223 0.170441
0.15096 2.61718e-06 107.512 0.182161
0.163671 2.83756e-06 122.531 0.194469
0.176383 3.05794e-06 141.566 0.209029
0.189095 3.27832e-06 162.929 0.224247

# Temperature
40
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.0616048 1.00277e-06 227.137 0.264772
0.0740814 1.20586e-06 284.526 0.296339
0.0865581 1.40894e-06 321.037 0.314778
0.0990348 1.61203e-06 360.011 0.333338
0.111511 1.81512e-06 399.185 0.351006
0.123988 2.01821e-06 440.33 0.368652
0.136465 2.2213e-06 488.703 0.388373
0.148941 2.42439e-06 532.602 0.405442
0.161418 2.62747e-06 575.935 0.421613
0.173895 2.83056e-06 650.815 0.448183
0.186371 3.03365e-06 714.214 0.469506

***
# afterpulsing
AP
# Temperature
-75
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0634155 0 3.67873 0.335998
0.077369 0 5.40628 0.400146
0.0913225 0 6.23422 0.365971
0.105276 0 8.9286 0.428775
0.11923 0 11.813 0.473836
0.133183 0 17.096 0.49335
0.147136 0 23.8112 0.599911
0.16109 0 29.392 0.649059
0.175043 0 38.4621 0.693943
0.188997 0 48.0972 0.828677
0.20295 0 55.3455 0.859988

# Temperature
-60
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0645789 0 2.73332 0.249396
0.0783386 0 4.27911 0.270992
0.0920983 0 6.60626 0.42553
0.105858 0 8.75859 0.411927
0.119618 0 11.8611 0.472932
0.133377 0 16.5476 0.505676
0.147137 0 22.7036 0.593931
0.160897 0 24.8699 0.590116
0.174657 0 36.6892 0.693531
0.188416 0 45.5073 0.774173
0.202176 0 57.6394 0.96428

# Temperature
-40
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0646227 0 3.66707 0.39316
0.0781138 0 4.22622 0.26269
0.091605 0 5.74388 0.396229
0.105096 0 7.64245 0.440441
0.118587 0 12.113 0.43817
0.132078 0 15.1784 0.481542
0.145569 0 21.7035 0.571973
0.159061 0 27.7229 0.654234
0.172552 0 31.5702 0.649462
0.186043 0 42.6107 0.783824
0.199534 0 46.0886 0.833112

# Temperature
-20
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0628431 0 2.62368 0.186996
0.0760533 0 3.36906 0.272081
0.0892634 0 5.64835 0.334371
0.102474 0 7.07896 0.384916
0.115684 0 11.2787 0.42696
0.128894 0 14.3693 0.422793
0.142104 0 19.7119 0.431993
0.155314 0 24.3966 0.417862
0.168524 0 29.4295 0.459022
0.181735 0 36.2488 0.42755
0.194945 0 48.834 0.512584

# Temperature
0
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0624253 0 1.99657 0.303709
0.0753817 0 3.55581 0.293576
0.0883381 0 4.79104 0.280178
0.101295 0 7.56353 0.269631
0.114251 0 9.8765 0.302139
0.127207 0 13.9035 0.322882
0.140164 0 17.3965 0.345989
0.15312 0 21.9679 0.353747
0.166077 0 26.8502 0.338749
0.179033 0 34.8462 0.342457
0.191989 0 42.9599 0.344132

# Temperature
20
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.061978 0 2.05236 0.280786
0.0746896 0 3.44411 0.292403
0.0874013 0 4.66037 0.293183
0.100113 0 6.86528 0.208505
0.112825 0 9.22945 0.246064
0.125536 0 12.2927 0.281547
0.138248 0 16.1859 0.282451
0.15096 0 20.0238 0.30452
0.163671 0 24.7318 0.326286
0.176383 0 31.2064 0.310545
0.189095 0 37.7976 0.339581

# Temperature
40
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0616048 0 1.30445 0.256907
0.0740814 0 1.99976 0.208159
0.0865581 0 3.18299 0.254717
0.0990348 0 4.92232 0.223914
0.111511 0 7.40363 0.267315
0.123988 0 9.67899 0.332693
0.136465 0 11.9774 0.306973
0.148941 0 14.3414 0.335757
0.161418 0 16.4892 0.337361
0.173895 0 19.7044 0.223019
0.186371 0 24.9855 0.224958

***
# delayed optical crosstalk
DOC
# Temperature
-75
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0634155 0 1.75829 0.142805
0.077369 0 3.19032 0.188565
0.0913225 0 4.66882 0.22981
0.105276 0 6.65725 0.263523
0.11923 0 8.87072 0.307326
0.133183 0 11.2888 0.338809
0.147136 0 13.9714 0.390633
0.16109 0 16.3085 0.426483
0.175043 0 20.064 0.451418
0.188997 0 20.6347 0.489541
0.20295 0 25.4824 0.558487

# Temperature
-60
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0645789 0 1.76288 0.101397
0.0783386 0 3.38404 0.132777
0.0920983 0 4.67916 0.226609
0.105858 0 6.71837 0.264558
0.119618 0 8.66289 0.310264
0.133377 0 10.0233 0.33067
0.147137 0 12.5593 0.38039
0.160897 0 15.1445 0.4004
0.174657 0 17.3829 0.433034
0.188416 0 20.7025 0.489361
0.202176 0 24.9494 0.61121

# Temperature
-40
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0646227 0 1.69899 0.136022
0.0781138 0 3.19018 0.132794
0.091605 0 4.60149 0.222496
0.105096 0 6.08536 0.257965
0.118587 0 8.30266 0.300694
0.132078 0 9.56396 0.319784
0.145569 0 12.6841 0.377169
0.159061 0 14.5205 0.40222
0.172552 0 15.9214 0.419798
0.186043 0 19.0362 0.484131
0.199534 0 22.3995 0.536306

# Temperature
-20
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0628431 0 1.90754 0.0840793
0.0760533 0 2.75736 0.171156
0.0892634 0 4.53716 0.215021
0.102474 0 6.09201 0.2391
0.115684 0 7.41833 0.23667
0.128894 0 9.48402 0.246541
0.142104 0 11.2432 0.249258
0.155314 0 13.592 0.252335
0.168524 0 15.2765 0.246927
0.181735 0 18.6254 0.250965
0.194945 0 21.4272 0.246237

# Temperature
0
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0624253 0 1.53868 0.0862501
0.0753817 0 2.90168 0.100203
0.0883381 0 3.68312 0.103315
0.101295 0 5.45074 0.113807
0.114251 0 6.99471 0.117788
0.127207 0 8.81451 0.121259
0.140164 0 10.5387 0.123295
0.15312 0 12.2304 0.12377
0.166077 0 13.7975 0.123184
0.179033 0 16.69 0.125059
0.191989 0 19.1514 0.124261

# Temperature
20
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.061978 0 1.38411 0.0516189
0.0746896 0 2.45451 0.0555718
0.0874013 0 3.22213 0.0573895
0.100113 0 4.64857 0.0624757
0.112825 0 6.01898 0.0640495
0.125536 0 7.52239 0.0656812
0.138248 0 9.09434 0.0670215
0.15096 0 10.4536 0.0673633
0.163671 0 12.0566 0.0677769
0.176383 0 14.2038 0.0684336
0.189095 0 16.1179 0.0684102

# Temperature
40
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0616048 0 0.264073 0.0270378
0.0740814 0 1.46809 0.0413873
0.0865581 0 2.00576 0.04037
0.0990348 0 2.72277 0.040801
0.111511 0 3.5028 0.0413398
0.123988 0 4.49167 0.044783
0.136465 0 5.29139 0.045202
0.148941 0 5.90755 0.0454611
0.161418 0 6.53207 0.0457544
0.173895 0 8.93226 0.0469661
0.186371 0 10.2091 0.0474923

***
# optical crosstalk per standard definition: cut > 1.5 pe
OC
# Temperature
-75
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0634155 0 0.770423 0.0957917
0.077369 0 1.18942 0.121161
0.0913225 0 1.02476 0.115678
0.105276 0 1.27719 0.129066
0.11923 0 1.52725 0.147007
0.133183 0 1.57554 0.153085
0.147136 0 2.28386 0.199608
0.16109 0 2.64676 0.224568
0.175043 0 2.87581 0.235693
0.188997 0 2.63187 0.249956
0.20295 0 3.93169 0.333611

# Temperature
-60
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0645789 0 1.12081 0.0812884
0.0783386 0 0.828072 0.0688073
0.0920983 0 1.3142 0.129518
0.105858 0 1.3532 0.132596
0.119618 0 1.58043 0.152278
0.133377 0 2.05118 0.176701
0.147137 0 2.08276 0.191146
0.160897 0 2.62292 0.213671
0.174657 0 2.64123 0.225131
0.188416 0 2.69039 0.250182
0.202176 0 2.9149 0.311242

# Temperature
-40
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0646227 0 0.757378 0.0915103
0.0781138 0 0.922438 0.0740771
0.091605 0 1.21616 0.123031
0.105096 0 1.35128 0.134376
0.118587 0 1.46502 0.145037
0.132078 0 1.76787 0.162191
0.145569 0 2.01703 0.186646
0.159061 0 2.32491 0.205795
0.172552 0 2.96678 0.240265
0.186043 0 2.79624 0.259069
0.199534 0 3.14607 0.290279

# Temperature
-20
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0628431 0 0.850335 0.0570174
0.0760533 0 0.843109 0.0981661
0.0892634 0 1.17233 0.118523
0.102474 0 1.004 0.108329
0.115684 0 1.59671 0.126684
0.128894 0 1.8078 0.128208
0.142104 0 2.1757 0.135867
0.155314 0 2.25081 0.133664
0.168524 0 2.60856 0.137605
0.181735 0 3.03115 0.143591
0.194945 0 3.35103 0.146185

# Temperature
0
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0624253 0 0.759937 0.060712
0.0753817 0 0.915936 0.0610904
0.0883381 0 1.13008 0.063735
0.101295 0 1.24076 0.0642815
0.114251 0 1.3676 0.0650404
0.127207 0 1.57641 0.0676053
0.140164 0 1.94611 0.0729037
0.15312 0 2.1458 0.0750905
0.166077 0 2.41049 0.0784442
0.179033 0 2.75183 0.0829112
0.191989 0 3.06563 0.0870537

# Temperature
20
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.061978 0 1.26686 0.049645
0.0746896 0 0.793293 0.042397
0.0874013 0 1.03569 0.0474542
0.100113 0 1.14232 0.0507725
0.112825 0 1.34811 0.0553713
0.125536 0 1.49665 0.060321
0.138248 0 1.72423 0.066259
0.15096 0 2.14037 0.0753575
0.163671 0 2.25247 0.0815208
0.176383 0 2.31687 0.0886728
0.189095 0 2.51115 0.098822

# Temperature
40
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0616048 0 2.36863 0.197712
0.0740814 0 1.92699 0.292231
0.0865581 0 1.71831 0.383924
0.0990348 0 1.57876 0.479601
0.111511 0 0.102364 0.527882
0.123988 0 1.23472 0.802047
0.136465 0 1.39169 1.13558
0.148941 0 2.37504 1.60292
0.161418 0 0.289082 1.58078
0.173895 0 -2.04337 1.63313
0.186371 0 -21.9859 -nan

***
# optical crosstalk includes contribution below 1.5 pe amplitude
ALLOC
# Temperature
-75
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0634155 0 7.61439 0.300773
0.077369 0 5.42109 0.258511
0.0913225 0 3.63443 0.217738
0.105276 0 1.73815 0.150548
0.11923 0 3.95497 0.236533
0.133183 0 1.51123 0.149906
0.147136 0 2.75633 0.219249
0.16109 0 3.46113 0.256761
0.175043 0 5.86529 0.336528
0.188997 0 4.1805 0.314931
0.20295 0 6.08412 0.414921

# Temperature
-60
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0645789 0 6.39281 0.194045
0.0783386 0 4.32038 0.157034
0.0920983 0 4.15268 0.230147
0.105858 0 3.71299 0.219549
0.119618 0 3.07862 0.212433
0.133377 0 0.548979 0.0913755
0.147137 0 4.64195 0.285198
0.160897 0 5.20651 0.300886
0.174657 0 5.49707 0.324574
0.188416 0 1.20971 0.167631
0.202176 0 4.49118 0.386019

# Temperature
-40
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0646227 0 7.75289 0.291965
0.0781138 0 3.50211 0.143919
0.091605 0 6.85221 0.291429
0.105096 0 4.55829 0.246284
0.118587 0 4.89162 0.264405
0.132078 0 4.43171 0.256156
0.145569 0 3.40042 0.241716
0.159061 0 2.92596 0.230252
0.172552 0 5.45081 0.324859
0.186043 0 1.43202 0.184804
0.199534 0 -0.482863 -nan

# Temperature
-20
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0628431 0 5.2058 0.139764
0.0760533 0 2.90551 0.179996
0.0892634 0 4.81208 0.237739
0.102474 0 4.67568 0.230597
0.115684 0 3.02459 0.172471
0.128894 0 2.01552 0.133856
0.142104 0 3.56011 0.171892
0.155314 0 3.57411 0.166355
0.168524 0 4.90259 0.186276
0.181735 0 5.80662 0.196215
0.194945 0 3.46777 0.146625

# Temperature
0
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0624253 0 8.16115 0.190693
0.0753817 0 4.11495 0.123666
0.0883381 0 3.91463 0.113457
0.101295 0 2.40719 0.0853756
0.114251 0 2.61636 0.0854646
0.127207 0 1.74232 0.0674333
0.140164 0 2.11175 0.072288
0.15312 0 2.79615 0.0814029
0.166077 0 3.4997 0.0896646
0.179033 0 4.08365 0.09566
0.191989 0 2.26071 0.0706226

# Temperature
20
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.061978 0 6.06794 0.0968012
0.0746896 0 3.10132 0.0678228
0.0874013 0 2.69997 0.0630773
0.100113 0 2.87863 0.0657484
0.112825 0 2.43973 0.0613058
0.125536 0 3.92177 0.079815
0.138248 0 3.1287 0.0730883
0.15096 0 3.79256 0.0832441
0.163671 0 4.27087 0.0919738
0.176383 0 4.50018 0.0992657
0.189095 0 4.83926 0.109003

# Temperature
40
# bias; error on bias; optical crosstalk; error on optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0616048 0 9.58222 0.291343
0.0740814 0 9.83889 0.4327
0.0865581 0 8.44033 0.519619
0.0990348 0 9.66168 0.679101
0.111511 0 7.39609 0.746843
0.123988 0 2.04865 0.503533
0.136465 0 6.37957 1.19199
0.148941 0 18.9708 2.6076
0.161418 0 -2.11538 -nan
0.173895 0 -12.9475 -nan
0.186371 0 -21.9415 -nan

***
# recovery time
RT
# Temperature
-75
# bias; error on bias; recovery time; error on recovery time
# [rel OverV]; [rel OverV]; [ns]; [ns]
0.0634155 2.80831e-06 93.9974 15.3435
0.077369 3.42623e-06 98.338 15.6913
0.0913225 4.04415e-06 78.7915 13.3658
0.105276 4.66207e-06 75.2144 12.0808
0.11923 5.27999e-06 93.0714 5.63671
0.133183 5.89792e-06 93.9885 4.27029
0.147136 6.51584e-06 87.6455 2.74183
0.16109 7.13376e-06 93.9269 2.49375
0.175043 7.75168e-06 99.4498 2.19223
0.188997 8.3696e-06 94.4254 2.44303
0.20295 8.98752e-06 87.1549 3.01912

# Temperature
-60
# bias; error on bias; recovery time; error on recovery time
# [rel OverV]; [rel OverV]; [ns]; [ns]
0.0645789 2.37705e-06 90.8161 16.7276
0.0783386 2.88352e-06 85.6809 10.7785
0.0920983 3.38999e-06 83.9889 7.91754
0.105858 3.89647e-06 79.138 6.30555
0.119618 4.40294e-06 88.1644 5.19923
0.133377 4.90941e-06 91.9048 3.1242
0.147137 5.41589e-06 89.0897 2.79673
0.160897 5.92236e-06 89.54 2.81169
0.174657 6.42883e-06 91.4687 2.03757
0.188416 6.93531e-06 90.7882 2.28285
0.202176 7.44178e-06 83.5503 3.06262

# Temperature
-40
# bias; error on bias; recovery time; error on recovery time
# [rel OverV]; [rel OverV]; [ns]; [ns]
0.0646227 2.10738e-06 120.607 19.818
0.0781138 2.54733e-06 93.1402 8.84389
0.091605 2.98729e-06 69.8476 19.0384
0.105096 3.42724e-06 81.6692 4.82445
0.118587 3.86719e-06 75.6372 3.19132
0.132078 4.30715e-06 81.5034 2.69187
0.145569 4.7471e-06 83.62 2.09072
0.159061 5.18705e-06 85.6807 2.03098
0.172552 5.627e-06 85.877 2.3072
0.186043 6.06696e-06 81.2144 2.39721
0.199534 6.50691e-06 82.8678 2.27636

# Temperature
-20
# bias; error on bias; recovery time; error on recovery time
# [rel OverV]; [rel OverV]; [ns]; [ns]
0.0628431 1.99301e-06 101.044 11.747
0.0760533 2.41196e-06 67.2977 8.88964
0.0892634 2.8309e-06 74.1402 8.60636
0.102474 3.24985e-06 60.352 4.31145
0.115684 3.6688e-06 75.2321 2.51087
0.128894 4.08775e-06 76.6071 1.68834
0.142104 4.5067e-06 76.4477 1.29649
0.155314 4.92565e-06 81.2179 1.28922
0.168524 5.34459e-06 80.3225 1.25783
0.181735 5.76354e-06 79.1466 1.05188
0.194945 6.18249e-06 75.3135 1.02205

# Temperature
0
# bias; error on bias; recovery time; error on recovery time
# [rel OverV]; [rel OverV]; [ns]; [ns]
0.0624253 1.55769e-06 139.5 17.0871
0.0753817 1.88099e-06 60.5436 3.52571
0.0883381 2.20429e-06 70.6351 4.43318
0.101295 2.52759e-06 67.8632 1.52008
0.114251 2.85089e-06 70.7379 1.01345
0.127207 3.17419e-06 71.7048 0.802182
0.140164 3.49749e-06 74.4197 0.698117
0.15312 3.82079e-06 76.1591 0.58681
0.166077 4.14409e-06 74.8779 0.535488
0.179033 4.46739e-06 73.5839 0.482345
0.191989 4.79069e-06 73.8306 0.438819

# Temperature
20
# bias; error on bias; recovery time; error on recovery time
# [rel OverV]; [rel OverV]; [ns]; [ns]
0.061978 1.07451e-06 109.796 2.88275
0.0746896 1.29489e-06 99.4814 2.7772
0.0874013 1.51527e-06 120.518 4.82813
0.100113 1.73565e-06 249.724 22.9156
0.112825 1.95603e-06 65.42 0.448486
0.125536 2.17641e-06 66.6364 0.351865
0.138248 2.39679e-06 68.4754 0.303747
0.15096 2.61718e-06 68.3495 0.270534
0.163671 2.83756e-06 69.2054 0.248361
0.176383 3.05794e-06 66.275 0.218296
0.189095 3.27832e-06 65.934 0.208267

# Temperature
40
# bias; error on bias; recovery time; error on recovery time
# [rel OverV]; [rel OverV]; [ns]; [ns]
0.0616048 1.00277e-06 160.445 10.8778
0.0740814 1.20586e-06 105.499 1.60942
0.0865581 1.40894e-06 119.477 16.3685
0.0990348 1.61203e-06 175.441 14.7028
0.111511 1.81512e-06 145.547 14.7887
0.123988 2.01821e-06 53.4058 0.16493
0.136465 2.2213e-06 53.9327 0.137992
0.148941 2.42439e-06 54.2935 0.126054
0.161418 2.62747e-06 54.0254 0.119941
0.173895 2.83056e-06 53.0481 0.117508
0.186371 3.03365e-06 53.6197 0.12111

***
# Quench Resistor value from IV measurement
QUENCHRESISTANCE
# temperature; error on temperature; resistance; error on resistance
# [C]; [C]; [kOhm]; [kOhm]
40 0 572.043 1.92842
20 0 616.061 2.07988
0 0 674.891 2.3723
-20 0 696.949 3.1164
-40 0 714.301 3.50811
-60 0 758.271 3.7498
-75 0 788.326 3.85376

***
# PDE vs bias at 25C
PDEVSBIAS
# Wavelength
400
# bias; error on bias; PDE; error on PDE
# [V]; [V]; [%]; [%]
42 0 34.8 0.7
42.5 0 39.5 0.8
43 0 42.3 1
43.5 0 44.9 1.1
44.5 0 47.2 1.3
45.5 0 48.2 1.5
