#Pixel #Amplitude(ADC/pe) #ErrAmplitude(ADC/pe) #Charge(ADC/pe) #ErrCharge(ADC/pe)
147 9.03812 0.177445 26.7143 0.50349
148 10 0.5 27.5 1.375
149 8.64835 0.165209 25.4805 0.469322
150 10 0.5 27.5 1.375
151 10 0.5 27.5 1.375
152 9.35116 0.172877 27.4308 0.499373
153 10 0.5 6.60507 0.0641903
154 9.71759 0.185857 28.5625 0.546972
155 9.3446 0.17681 27.5209 0.51531
156 9.32325 0.192728 27.3622 0.560916
157 10 0.5 5.46673 0.0573609
158 10 0.5 5.56407 0.0603539
159 9.2956 0.181365 27.3375 0.519572
160 8.77818 0.177568 25.6884 0.509731
161 8.7032 0.168453 25.4473 0.478891
162 8.50329 0.171517 24.7149 0.460746
163 8.64141 0.169847 25.1819 0.481402
164 8.86429 0.166827 25.9796 0.477852
165 9.10974 0.167932 26.7301 0.483316
166 9.18424 0.168817 27.0303 0.481728
167 9.34427 0.184624 27.5612 0.52482
168 9.66528 0.172995 28.1748 0.501777
169 9.79326 0.17105 28.5467 0.499377
170 9.49272 0.175955 27.6259 0.513096
171 9.69416 0.173213 28.3378 0.525698
172 9.64089 0.165657 28.0905 0.486355
173 9.70705 0.162235 28.2853 0.481943
174 9.9373 0.149353 29.0044 0.475584
175 9.88553 0.14437 28.8702 0.452132
176 9.27645 0.169478 27.2659 0.486489
177 9.50746 0.16565 27.9563 0.481328
178 9.50952 0.166733 28.0099 0.477482
179 9.46679 0.15033 27.9102 0.433983
180 9.15613 0.159382 26.9051 0.459561
181 9.29716 0.18403 27.2273 0.528619
182 9.07281 0.177982 26.5928 0.508534
183 8.93101 0.172232 26.2033 0.50197
184 9.80701 0.148142 28.6597 0.439582
185 9.98155 0.150283 29.2064 0.45558
186 10.0559 0.10092 29.6222 0.363665
187 10.067 0.12687 29.6063 0.42229
188 9.74068 0.154972 28.4736 0.4556
189 9.69239 0.138266 28.3663 0.426671
190 9.62927 0.14521 28.143 0.4289
191 9.85047 0.164351 28.8134 0.489798
192 8.94054 0.161457 26.2597 0.463205
193 9.14852 0.167413 26.8481 0.486676
194 8.70176 0.156335 25.5399 0.446889
195 8.73864 0.172121 25.6441 0.492295
196 8.78056 0.156279 25.8186 0.445457
197 9.32862 0.172473 27.4421 0.496068
198 9.24521 0.152317 27.2053 0.438758
199 9.42774 0.164352 27.7646 0.474882
200 9.47558 0.160563 27.7731 0.460389
201 9.5394 0.160128 27.9333 0.465526
202 9.42699 0.168856 27.6142 0.481169
203 10 0.5 6.85247 0.0591832
204 10 0.5 7.15881 0.0671742
205 9.59118 0.154044 28.0802 0.447034
206 9.68494 0.169852 28.3513 0.494056
207 10 0.5 5.81363 0.0630203
208 9.03959 0.171283 26.6484 0.489125
209 9.21592 0.173197 27.1232 0.489345
210 9.28197 0.174781 27.3697 0.496016
211 9.47249 0.197229 27.957 0.560825
212 8.90152 0.165399 26.2129 0.470206
213 8.84843 0.181431 26.0784 0.525269
214 8.68603 0.163909 25.7999 0.497581
215 8.9394 0.215715 26.1992 0.617027
216 9.62928 0.173095 28.3025 0.502609
217 9.61651 0.186272 28.166 0.533773
218 9.6709 0.181978 28.3424 0.522196
219 9.91306 0.174767 29.1602 0.523771
220 9.27227 0.167696 27.2172 0.486212
221 9.25166 0.15745 27.2137 0.452151
222 10 0.5 7.01847 0.0743651
223 9.36794 0.176035 27.5661 0.507935
224 8.1093 0.152407 23.8369 0.436254
225 8.4147 0.161792 24.6954 0.462626
226 8.39723 0.181083 24.6047 0.522283
