name,time,metric1,metric2,value1,value2
TriggerRate,1712946976000000000,num,null,0,null
TriggerRate,1712951270000000000,num,null,0,null
TriggerRate,1712951330000000000,num,null,0,null
TriggerRate,1712951390000000000,num,null,0,null
TriggerRate,1712951450000000000,num,null,0,null
TriggerRate,1712951510000000000,num,null,0,null
TriggerRate,1712951570000000000,num,null,0,null
TriggerRate,1712951630000000000,num,null,0,null
TriggerRate,1712951690000000000,num,null,0,null
TriggerRate,1712952689000000000,num,null,0,null
TriggerRate,1712952749000000000,num,null,0,null
TriggerRate,1712952809000000000,num,null,0,null
TriggerRate,1712952869000000000,num,null,0,null
TriggerRate,1712952929000000000,num,null,0,null
TriggerRate,1712952989000000000,num,null,0,null
TriggerRate,1712953049000000000,num,null,0,null
TriggerRate,1712953109000000000,num,null,0,null
TriggerRate,1712953169000000000,num,null,0,null
TriggerRate,1712953229000000000,num,null,0,null
TriggerRate,1712953289000000000,num,null,0,null
TriggerRate,1712953349000000000,num,null,0,null
TriggerRate,1712953409000000000,num,null,0,null
TriggerRate,1712953469000000000,num,null,0,null
TriggerRate,1712953529000000000,num,null,0,null
TriggerRate,1712953589000000000,num,null,0,null
TriggerRate,1712953649000000000,num,null,0,null
TriggerRate,1712953709000000000,num,null,0,null
TriggerRate,1712953769000000000,num,null,0,null
TriggerRate,1712953829000000000,num,null,0,null
TriggerRate,1712953889000000000,num,null,0,null
TriggerRate,1712953949000000000,num,null,0,null
TriggerRate,1712954009000000000,num,null,0,null
TriggerRate,1712954069000000000,num,null,0,null
TriggerRate,1712954099000000000,num,null,0,null
TriggerRate,1712992419000000000,num,null,0,null
TriggerRate,1712992479000000000,num,null,0,null
TriggerRate,1712992599000000000,num,null,0,null
TriggerRate,1712992659000000000,num,null,0,null
TriggerRate,1712992719000000000,num,null,0,null
TriggerRate,1712992779000000000,num,null,0,null
TriggerRate,1712992839000000000,num,null,0,null
TriggerRate,1712992899000000000,num,null,92,null
TriggerRate,1712992959000000000,num,null,92,null
TriggerRate,1712993019000000000,num,null,102,null
TriggerRate,1712993079000000000,num,null,102,null
TriggerRate,1712993139000000000,num,null,102,null
TriggerRate,1712993199000000000,num,null,102,null
TriggerRate,1712993259000000000,num,null,102,null
TriggerRate,1712993319000000000,num,null,102,null
TriggerRate,1712993379000000000,num,null,102,null
TriggerRate,1712993439000000000,num,null,102,null
TriggerRate,1712993499000000000,num,null,102,null
TriggerRate,1712993559000000000,num,null,102,null
TriggerRate,1712993619000000000,num,null,102,null
TriggerRate,1712993679000000000,num,null,102,null
TriggerRate,1712993739000000000,num,null,102,null
TriggerRate,1712993799000000000,num,null,102,null
TriggerRate,1712993859000000000,num,null,102,null
TriggerRate,1712993919000000000,num,null,102,null
TriggerRate,1712993979000000000,num,null,102,null
TriggerRate,1712994039000000000,num,null,102,null
TriggerRate,1712994099000000000,num,null,7,null
TriggerRate,1712994159000000000,num,null,7,null
TriggerRate,1712994399000000000,num,null,7,null
TriggerRate,1712994459000000000,num,null,7,null
TriggerRate,1712994519000000000,num,null,7,null
TriggerRate,1712994639000000000,num,null,7,null
TriggerRate,1712994699000000000,num,null,7,null
TriggerRate,1712994819000000000,num,null,7,null
TriggerRate,1712994879000000000,num,null,7,null
TriggerRate,1712994939000000000,num,null,65535,null
TriggerRate,1712994999000000000,num,null,65535,null
TriggerRate,1712995059000000000,num,null,112,null
TriggerRate,1712995119000000000,num,null,112,null
TriggerRate,1712995179000000000,num,null,109,null
TriggerRate,1712995239000000000,num,null,109,null
TriggerRate,1712995299000000000,num,null,112,null
TriggerRate,1712995359000000000,num,null,112,null
TriggerRate,1712995419000000000,num,null,111,null
TriggerRate,1712995479000000000,num,null,111,null
TriggerRate,1712995539000000000,num,null,113,null
TriggerRate,1712995599000000000,num,null,113,null
TriggerRate,1712995659000000000,num,null,111,null
TriggerRate,1712995719000000000,num,null,111,null
TriggerRate,1712995779000000000,num,null,110,null
TriggerRate,1712995839000000000,num,null,110,null
TriggerRate,1712995899000000000,num,null,114,null
TriggerRate,1712995959000000000,num,null,114,null
TriggerRate,1712996019000000000,num,null,110,null
TriggerRate,1712996079000000000,num,null,110,null
TriggerRate,1712996139000000000,num,null,113,null
TriggerRate,1712996199000000000,num,null,113,null
TriggerRate,1712996259000000000,num,null,113,null
TriggerRate,1712996319000000000,num,null,113,null
TriggerRate,1712996379000000000,num,null,112,null
TriggerRate,1712996439000000000,num,null,112,null
TriggerRate,1712996499000000000,num,null,115,null
