name,time,1,2,3,4,metric
HV,1712718088000000000,44.02261812657001,44.015520959670006,44.039128377990004,44.065089067440006,V
HV,1712719828000000000,44.021559777120004,44.016268029870005,44.041008504660006,44.06588594232001,V
HV,1712719888000000000,44.02099947447,44.015720178390005,44.03734786068001,44.06546260254001,V
HV,1712719948000000000,44.022120079770005,44.01339180960001,44.038182089070006,44.06358247587001,V
HV,1712720008000000000,44.02229439615,44.01618087168001,44.04117036987,44.06231245653001,V
HV,1712720308000000000,44.020501427670006,44.014848596490005,44.03899141512001,44.06611006338001,V
HV,1712720368000000000,44.019853966830006,44.01427584267,44.03833150311001,44.067766068990004,V
HV,1712720428000000000,44.022979210500004,44.01314278620001,44.03866768470001,44.06645869614,V
HV,1712720488000000000,44.02139791191001,44.014624475430004,44.04073457892,44.065736528280006,V
HV,1712720548000000000,44.01991622268,44.014861047660006,44.04222871932001,44.06449141128,V
HV,1712720608000000000,44.021895958710004,44.014537317240006,44.03820699141001,44.062897661520005,V
HV,1712720668000000000,44.02173409350001,44.013205042050004,44.03779610280001,44.06765400846,V
HV,1712720728000000000,44.021049279150006,44.014188684480004,44.03952681543001,44.06547505371,V
HV,1712720788000000000,44.020065636720005,44.01482369415,44.03985054585001,44.06609761221001,V
HV,1712720908000000000,44.02089986511,44.01437545203001,44.0405353602,44.065499956050004,V
HV,1712720968000000000,44.02226949381001,44.014213586820006,44.039128377990004,44.06882441844001,V
HV,1712721028000000000,44.02240645668,44.01488595000001,44.040348592650005,44.065387895520004,V
HV,1712721088000000000,44.021260949040006,44.014649377770006,44.040784383600005,44.066496049650006,V
HV,1712721148000000000,44.01813570537001,44.015832238920005,44.038592977680004,44.06654585433001,V
HV,1712721268000000000,44.02077535341001,44.01372799119,44.03703658143001,44.06759175261001,V
HV,1712721328000000000,44.02099947447,44.01555831318001,44.03998750872,44.064840044040004,V
HV,1712721358000000000,44.020264855440004,44.01458712192001,44.037833456310004,44.06503926276,V
HV,1712721628000000000,44.022991661670005,44.016591760290005,44.040672323070005,44.063009722050005,V
HV,1712721688000000000,44.02154732595,44.015408899140006,44.038817098740004,44.06602290519,V
HV,1712721748000000000,44.023004112840006,44.01471163362,44.038480917150004,44.06654585433001,V
HV,1712721808000000000,44.02238155434001,44.012881311630004,44.04080928594001,44.06597310051001,V
HV,1712721868000000000,44.01893258025,44.01384005172,44.03932759671,44.06759175261001,V
HV,1712721928000000000,44.01997847853001,44.01682833252001,44.038480917150004,44.06578633296001,V
HV,1712721988000000000,44.023626671340004,44.01589449477,44.03950191309001,44.06678242656,V
